timestamp,open,high,low,close,volume
1759533000000,122369.44,122369.44,122283.01,122342.23,38.31967
1759533300000,122295.85,122338.78,122283.0,122338.78,18.40972
1759533600000,122329.54,122358.43,122329.53,122338.81,10.28592
1759533900000,122338.8,122338.81,122285.37,122285.37,14.80645
1759534200000,122277.05,122277.06,122196.69,122261.75,14.09259
1759534500000,122275.56,122307.87,122257.46,122306.26,18.46383
1759534800000,122325.59,122332.68,122300.98,122300.98,12.22036
1759535100000,122300.99,122315.37,122219.93,122241.12,18.46539
1759535400000,122241.12,122262.57,122182.66,122182.67,47.45242
1759535700000,122182.67,122212.03,122180.79,122206.06,17.4003
1759536000000,122232.21,122260.0,122060.18,122073.64,70.94193
1759536300000,122121.37,122257.99,122121.37,122231.61,20.74039
1759536600000,122231.62,122245.64,122199.99,122199.99,18.75852
1759536900000,122180.22,122250.93,122172.74,122213.9,34.71567
1759537200000,122218.99,122285.42,122209.63,122285.41,28.14043
1759537500000,122295.56,122295.56,122168.56,122196.94,62.86138
1759537800000,122168.45,122181.74,122061.27,122061.28,15.77791
1759538100000,122060.01,122117.36,121982.23,122016.99,41.81274
1759538400000,122021.73,122093.02,122008.6,122040.0,30.46707
1759538700000,122055.15,122094.0,122006.0,122008.63,21.24692
1759539000000,121993.25,122075.5,121993.25,122038.99,46.12923
1759539300000,122054.1,122093.41,122028.0,122085.0,13.32404
1759539600000,122100.0,122103.24,122034.53,122064.13,16.52238
1759539900000,122063.12,122100.0,122020.0,122099.99,21.61718
1759540200000,122099.99,122100.0,122020.87,122064.99,28.37146
1759540500000,122090.0,122095.0,122020.0,122080.93,28.04558
1759540800000,122082.99,122083.0,121995.24,121995.25,30.87626
1759541100000,121995.26,122005.51,121966.52,121966.52,23.81565
1759541400000,121950.0,121977.0,121866.86,121977.0,55.87279
1759541700000,122029.15,122029.16,121885.89,121941.78,43.01674
1759542000000,121952.62,121952.63,121859.9,121859.9,93.54205
1759542300000,121883.96,121901.67,121793.96,121793.96,22.01744
1759542600000,121767.7,121793.97,121705.53,121720.0,34.02111
1759542900000,121700.0,121838.94,121698.8,121827.24,45.95215
1759543200000,121865.22,122019.99,121865.21,122014.23,37.54788
1759543500000,121967.02,122030.0,121967.02,121999.0,22.22271
1759543800000,121957.97,122010.04,121807.92,121807.93,50.73983
1759544100000,121871.69,121886.0,121686.66,121793.94,55.59666
1759544400000,121740.56,121888.0,121685.71,121770.2,39.50417
1759544700000,121737.2,121800.0,121737.19,121793.07,26.04384
1759545000000,121805.05,121841.1,121695.86,121721.8,25.63839
1759545300000,121740.75,121763.58,121684.97,121754.11,24.22424
1759545600000,121732.47,121782.54,121708.78,121752.63,18.12051
1759545900000,121752.62,121830.99,121724.0,121787.17,30.97236
1759546200000,121789.54,121934.19,121789.54,121933.42,37.39355
1759546500000,121950.08,121950.09,121826.45,121826.46,20.05887
1759546800000,121854.53,121896.67,121829.54,121844.01,25.52676
1759547100000,121844.01,121880.04,121844.01,121868.87,22.53929
1759547400000,121871.99,121887.01,121846.02,121887.0,19.53561
1759547700000,121888.0,121969.09,121887.99,121943.09,33.51923
1759548000000,121943.1,121996.15,121943.09,121996.14,17.64744
1759548300000,122000.0,122066.53,121999.99,122051.16,28.91027
1759548600000,122051.16,122089.98,122051.15,122073.63,16.29976
1759548900000,122073.64,122098.69,122038.26,122048.0,59.76785
1759549200000,122048.0,122093.77,122048.0,122093.76,19.33429
1759549500000,122093.77,122100.0,122038.28,122099.99,14.8288
1759549800000,122100.0,122222.0,122099.99,122222.0,39.11973
1759550100000,122246.78,122325.6,122200.0,122243.98,44.7174
1759550400000,122243.99,122313.13,122235.38,122285.99,21.21034
1759550700000,122296.83,122302.41,122261.0,122302.4,45.312
1759551000000,122289.19,122295.96,122271.44,122281.0,14.51902
1759551300000,122281.78,122300.0,122219.3,122299.99,17.04518
1759551600000,122292.24,122377.75,122265.13,122376.51,24.19921
1759551900000,122377.1,122377.11,122336.5,122337.62,14.90002
1759552200000,122342.55,122386.0,122296.0,122371.4,29.60311
1759552500000,122359.5,122418.0,122359.5,122418.0,32.04652
1759552800000,122418.0,122500.0,122417.99,122481.77,32.7476
1759553100000,122481.77,122505.22,122454.54,122490.63,23.12272
1759553400000,122484.24,122522.0,122484.24,122522.0,16.06716
1759553700000,122514.62,122514.63,122509.22,122509.22,5.45267
1759554000000,122495.01,122495.01,122442.72,122442.73,18.5416
1759554300000,122442.73,122531.19,122442.72,122505.67,18.16097
1759554600000,122536.92,122671.0,122533.75,122649.14,78.43262
1759554900000,122657.04,122670.76,122620.0,122670.76,23.21329
1759555200000,122678.45,122772.82,122678.44,122706.0,35.32644
1759555500000,122733.09,122800.0,122660.28,122704.76,42.35746
1759555800000,122687.13,122718.08,122644.0,122717.0,52.28711
1759556100000,122698.79,122717.0,122662.57,122672.52,34.02866
1759556400000,122643.98,122643.99,122495.05,122495.05,56.54997
1759556700000,122472.63,122505.22,122405.64,122416.4,93.0867
1759557000000,122423.52,122565.72,122423.52,122565.71,26.25787
1759557300000,122565.72,122599.45,122474.97,122522.7,32.67272
1759557600000,122522.7,122560.34,122488.55,122507.92,37.31451
1759557900000,122502.32,122505.22,122389.61,122418.51,41.38498
1759558200000,122418.5,122431.69,122373.9,122413.53,18.9524
1759558500000,122407.01,122550.96,122407.0,122523.85,42.7623
1759558800000,122560.83,122606.86,122539.99,122572.01,47.73988
1759559100000,122568.01,122584.14,122507.45,122507.45,15.15022
1759559400000,122507.45,122536.6,122507.45,122536.6,26.36784
1759559700000,122536.6,122544.08,122500.02,122521.0,26.60104
1759560000000,122526.87,122561.89,122488.5,122488.5,10.06877
1759560300000,122505.22,122519.5,122489.2,122491.16,10.11866
1759560600000,122491.16,122491.16,122442.5,122442.5,13.43383
1759560900000,122437.64,122457.37,122437.63,122446.19,23.11199
1759561200000,122430.27,122430.27,122405.21,122417.66,13.63154
1759561500000,122421.09,122421.1,122386.29,122386.29,19.8563
1759561800000,122386.05,122455.0,122348.6,122430.0,28.47499
1759562100000,122430.01,122430.01,122337.8,122337.8,22.00619
1759562400000,122376.27,122376.28,122317.0,122326.97,14.90473
1759562700000,122326.97,122356.78,122321.36,122356.77,16.0214
1759563000000,122376.22,122393.02,122329.65,122393.01,27.40377
1759563300000,122393.01,122393.02,122326.16,122332.67,23.11106
1759563600000,122315.99,122315.99,122280.11,122312.0,30.16595
1759563900000,122312.0,122312.0,122270.9,122270.91,9.36884
1759564200000,122267.77,122280.01,122259.98,122269.97,12.66141
1759564500000,122269.98,122342.87,122262.04,122336.46,14.98976
1759564800000,122324.08,122425.93,122296.75,122425.93,25.29884
1759565100000,122441.65,122476.82,122414.1,122471.0,19.98251
1759565400000,122474.86,122539.83,122467.0,122503.91,46.92809
1759565700000,122460.48,122460.48,122362.83,122455.74,96.45455
1759566000000,122442.41,122499.97,122397.1,122398.82,100.42825
1759566300000,122398.84,122485.92,122398.84,122442.05,20.44887
1759566600000,122432.82,122432.82,122309.49,122309.49,27.39966
1759566900000,122338.72,122338.73,122302.01,122302.01,13.41937
1759567200000,122273.56,122292.43,122218.92,122218.93,32.58344
1759567500000,122234.49,122321.82,122197.63,122321.82,32.18704
1759567800000,122303.47,122303.48,122255.85,122255.85,12.21818
1759568100000,122281.3,122298.55,122267.57,122267.58,16.10237
1759568400000,122267.58,122330.0,122267.57,122330.0,54.89205
1759568700000,122347.94,122414.16,122347.94,122395.66,24.72516
1759569000000,122395.66,122414.16,122376.65,122414.14,12.14278
1759569300000,122414.15,122457.17,122414.13,122414.13,16.59872
1759569600000,122377.42,122393.52,122360.89,122393.52,7.7173
1759569900000,122393.51,122393.53,122371.13,122371.14,18.67844
1759570200000,122368.69,122368.7,122339.85,122339.85,12.22816
1759570500000,122339.86,122339.86,122308.54,122335.56,15.79282
1759570800000,122327.82,122327.82,122327.81,122327.82,6.97236
1759571100000,122327.81,122327.82,122242.65,122242.66,17.25551
1759571400000,122242.65,122242.66,122208.53,122216.4,9.28329
1759571700000,122203.11,122214.99,122186.03,122208.78,18.48272
1759572000000,122208.79,122263.02,122196.94,122263.01,12.294
1759572300000,122263.01,122273.32,122263.01,122273.32,4.54732
1759572600000,122273.31,122273.32,122228.99,122228.99,11.26697
1759572900000,122228.99,122267.7,122218.0,122261.61,16.5291
1759573200000,122248.79,122298.4,122248.79,122298.4,17.03232
1759573500000,122301.37,122318.9,122292.4,122292.44,15.9488
1759573800000,122292.43,122331.01,122292.43,122310.49,10.86033
1759574100000,122304.52,122304.53,122200.0,122246.99,18.5767
1759574400000,122246.99,122247.0,122218.0,122231.41,6.31868
1759574700000,122231.41,122237.0,122186.03,122186.04,23.02094
1759575000000,122186.03,122186.04,122127.21,122148.33,34.33915
1759575300000,122117.01,122129.55,122099.69,122129.53,24.94892
1759575600000,122129.53,122129.54,122103.35,122120.0,14.07869
1759575900000,122172.94,122215.97,122148.33,122160.0,68.92603
1759576200000,122144.4,122144.41,122000.0,122012.06,53.23528
1759576500000,122032.29,122079.65,121962.81,121963.2,33.94817
1759576800000,121998.03,122008.91,121979.68,121998.96,15.70073
1759577100000,121998.96,122129.0,121998.95,122079.65,28.05184
