timestamp,open,high,low,close,volume
1759533000000,3.58,3.58,3.5739,3.5769,27156.9
1759533300000,3.5754,3.585,3.5747,3.585,25596.4
1759533600000,3.5845,3.5877,3.5826,3.5844,23638.8
1759533900000,3.5845,3.5845,3.5796,3.5796,28003.4
1759534200000,3.5782,3.5815,3.5743,3.5815,30130.5
1759534500000,3.5829,3.5851,3.582,3.5851,19920.7
1759534800000,3.5862,3.5864,3.5811,3.5816,31670.1
1759535100000,3.5816,3.5822,3.5788,3.5795,33133.6
1759535400000,3.5783,3.5815,3.5769,3.5777,48818.6
1759535700000,3.5785,3.5797,3.5773,3.5777,16470.2
1759536000000,3.5793,3.5817,3.5728,3.5752,63747.4
1759536300000,3.5756,3.5843,3.5754,3.5842,34117.1
1759536600000,3.5845,3.5868,3.5803,3.581,41905.1
1759536900000,3.5791,3.5815,3.5757,3.5801,40912.4
1759537200000,3.5812,3.586,3.577,3.5844,121386.7
1759537500000,3.5844,3.5844,3.5691,3.5696,53881.7
1759537800000,3.5686,3.5724,3.5671,3.5692,56545.6
1759538100000,3.5697,3.5722,3.5662,3.568,86468.8
1759538400000,3.5675,3.5741,3.5648,3.5696,41610.3
1759538700000,3.5704,3.5732,3.5677,3.5681,35561.2
1759539000000,3.5675,3.572,3.5664,3.5696,75380.7
1759539300000,3.5721,3.5768,3.5692,3.5768,65116.2
1759539600000,3.5781,3.5794,3.5763,3.5783,168395.2
1759539900000,3.5782,3.5798,3.5765,3.5796,52788.7
1759540200000,3.5803,3.5809,3.5749,3.578,134460.8
1759540500000,3.5794,3.5805,3.5764,3.5805,77994.2
1759540800000,3.58,3.5811,3.5755,3.576,59515.2
1759541100000,3.5763,3.5779,3.5746,3.5749,47129.7
1759541400000,3.5756,3.5768,3.5681,3.5729,258084.7
1759541700000,3.5733,3.5733,3.5675,3.5712,85924.2
1759542000000,3.5712,3.5716,3.5674,3.5684,15741.8
1759542300000,3.5688,3.5699,3.5609,3.5624,130046.9
1759542600000,3.5587,3.5592,3.5531,3.5541,78579.5
1759542900000,3.5527,3.5569,3.5455,3.5492,200682.3
1759543200000,3.5516,3.5625,3.5511,3.5611,58498.2
1759543500000,3.5614,3.5628,3.5561,3.5564,43070.1
1759543800000,3.554,3.556,3.5426,3.5442,106045.4
1759544100000,3.547,3.5512,3.5379,3.5478,193333.0
1759544400000,3.5485,3.5494,3.5426,3.5457,57658.1
1759544700000,3.5447,3.5508,3.5437,3.5493,47878.1
1759545000000,3.55,3.551,3.5457,3.5476,70558.7
1759545300000,3.5491,3.5517,3.5462,3.5503,52644.8
1759545600000,3.549,3.5495,3.5465,3.5465,45936.9
1759545900000,3.5454,3.5498,3.5438,3.5463,55276.7
1759546200000,3.5469,3.5498,3.5466,3.5498,31467.3
1759546500000,3.5498,3.5511,3.5443,3.5455,49233.3
1759546800000,3.5458,3.548,3.5296,3.532,236887.1
1759547100000,3.533,3.5339,3.5282,3.531,150360.9
1759547400000,3.5297,3.5305,3.5245,3.5289,127828.4
1759547700000,3.5283,3.5322,3.5237,3.5315,129529.3
1759548000000,3.5309,3.5378,3.5285,3.5352,119380.5
1759548300000,3.5357,3.5378,3.534,3.5374,49343.7
1759548600000,3.5377,3.5426,3.5356,3.542,52078.4
1759548900000,3.542,3.5432,3.5373,3.5397,47794.9
1759549200000,3.5399,3.5496,3.5393,3.5463,52227.5
1759549500000,3.5466,3.5474,3.5414,3.5432,55650.8
1759549800000,3.5429,3.5475,3.5423,3.5438,31249.5
1759550100000,3.5439,3.5453,3.5418,3.5439,36834.6
1759550400000,3.545,3.547,3.5427,3.5449,16880.7
1759550700000,3.5461,3.5583,3.5461,3.5559,59212.9
1759551000000,3.5552,3.5578,3.5531,3.5549,56412.5
1759551300000,3.5524,3.5531,3.5433,3.5467,39375.2
1759551600000,3.5455,3.5461,3.5418,3.5418,41931.5
1759551900000,3.5421,3.5444,3.5412,3.5421,18989.3
1759552200000,3.5426,3.5488,3.5412,3.546,17273.9
1759552500000,3.5469,3.5485,3.5453,3.5463,31911.9
1759552800000,3.5469,3.5536,3.5469,3.5471,28207.2
1759553100000,3.5499,3.5539,3.5494,3.5527,20357.7
1759553400000,3.5519,3.5541,3.5477,3.5483,54118.6
1759553700000,3.5469,3.5477,3.5451,3.5452,18424.1
1759554000000,3.546,3.5495,3.545,3.5492,32427.9
1759554300000,3.55,3.5565,3.5494,3.5559,42176.4
1759554600000,3.557,3.56,3.5539,3.5599,72889.3
1759554900000,3.5596,3.5596,3.5557,3.5577,30151.8
1759555200000,3.5578,3.5604,3.5554,3.5554,24388.3
1759555500000,3.5576,3.5594,3.5536,3.5547,173482.1
1759555800000,3.5545,3.5562,3.5506,3.5508,28817.7
1759556100000,3.5506,3.5511,3.5444,3.5456,90384.2
1759556400000,3.5446,3.5448,3.5403,3.5403,21947.4
1759556700000,3.5401,3.5424,3.5368,3.5373,80794.1
1759557000000,3.5381,3.5434,3.5381,3.543,31898.1
1759557300000,3.5434,3.5508,3.5434,3.5491,63154.8
1759557600000,3.5495,3.5536,3.5473,3.5519,37017.1
1759557900000,3.5532,3.5536,3.5497,3.5511,36861.6
1759558200000,3.551,3.5552,3.551,3.5524,46671.7
1759558500000,3.5527,3.5578,3.5526,3.5545,73714.8
1759558800000,3.557,3.5643,3.5563,3.5624,80891.2
1759559100000,3.5617,3.5631,3.5554,3.5555,38926.1
1759559400000,3.5555,3.5572,3.5523,3.5554,20228.0
1759559700000,3.5547,3.5576,3.5529,3.556,19957.7
1759560000000,3.5557,3.5582,3.5533,3.5534,11950.4
1759560300000,3.5545,3.5577,3.5539,3.554,19053.7
1759560600000,3.554,3.5556,3.5534,3.5556,50763.9
1759560900000,3.5536,3.5578,3.5536,3.5547,41533.4
1759561200000,3.5547,3.5551,3.5523,3.5542,20619.4
1759561500000,3.555,3.5557,3.5516,3.5542,22470.5
1759561800000,3.5531,3.5555,3.5517,3.5522,24591.6
1759562100000,3.5526,3.5531,3.5466,3.5477,34629.5
1759562400000,3.5494,3.5498,3.5456,3.5457,45857.0
1759562700000,3.546,3.5485,3.5449,3.548,18325.9
1759563000000,3.5468,3.5522,3.5465,3.5516,43016.5
1759563300000,3.5518,3.5518,3.5462,3.5482,37697.1
1759563600000,3.5475,3.5488,3.5464,3.5487,14875.0
1759563900000,3.5483,3.5483,3.5418,3.5429,40954.4
1759564200000,3.542,3.5425,3.538,3.5396,42181.3
1759564500000,3.5398,3.544,3.538,3.5435,47628.8
1759564800000,3.5428,3.5494,3.5418,3.5491,109738.4
1759565100000,3.5512,3.5512,3.5415,3.5416,33040.5
1759565400000,3.5436,3.5452,3.5415,3.5415,41855.2
1759565700000,3.5406,3.5406,3.5325,3.5347,103437.5
1759566000000,3.5334,3.5401,3.5317,3.5345,53543.0
1759566300000,3.5354,3.5401,3.533,3.5331,20411.1
1759566600000,3.532,3.5338,3.5281,3.5306,52375.4
1759566900000,3.5331,3.5343,3.5268,3.5274,22681.4
1759567200000,3.5265,3.5265,3.5124,3.5183,357436.0
1759567500000,3.5193,3.5264,3.5153,3.5257,79953.2
1759567800000,3.5249,3.5257,3.5189,3.5195,35060.7
1759568100000,3.5229,3.525,3.521,3.5211,79258.3
1759568400000,3.522,3.525,3.517,3.5243,48023.0
1759568700000,3.526,3.5309,3.5255,3.5309,33321.3
1759569000000,3.5309,3.5319,3.5287,3.5311,27921.5
1759569300000,3.5317,3.535,3.5269,3.5269,65642.3
1759569600000,3.5268,3.5288,3.5261,3.5264,23833.4
1759569900000,3.5262,3.5282,3.5258,3.5273,25523.7
1759570200000,3.528,3.528,3.5223,3.5229,13609.2
1759570500000,3.5232,3.5232,3.5186,3.5211,27997.3
1759570800000,3.5206,3.524,3.5202,3.523,18358.0
1759571100000,3.523,3.5235,3.516,3.5164,105096.8
1759571400000,3.5177,3.5189,3.5085,3.5112,183541.6
1759571700000,3.5112,3.5126,3.5075,3.5075,133055.2
1759572000000,3.5071,3.5173,3.505,3.5154,92148.0
1759572300000,3.5163,3.5186,3.5157,3.5159,22344.2
1759572600000,3.5153,3.5154,3.5119,3.5134,13865.1
1759572900000,3.5134,3.5145,3.5096,3.5096,187598.9
1759573200000,3.5102,3.5135,3.5092,3.5128,25851.4
1759573500000,3.5135,3.5159,3.5114,3.5131,27906.2
1759573800000,3.514,3.5158,3.5118,3.5122,39202.7
1759574100000,3.5126,3.5126,3.4973,3.5022,253962.3
1759574400000,3.5014,3.5015,3.497,3.4987,104872.8
1759574700000,3.5008,3.5029,3.4956,3.4965,113160.2
1759575000000,3.4958,3.4989,3.4923,3.4944,182555.6
1759575300000,3.4928,3.4975,3.4928,3.4969,62170.3
1759575600000,3.4962,3.5,3.4931,3.4999,55251.4
1759575900000,3.5036,3.5036,3.4969,3.4985,203061.9
1759576200000,3.4982,3.5013,3.4964,3.4983,152867.9
1759576500000,3.4974,3.4998,3.4939,3.4988,75449.3
1759576800000,3.4988,3.5011,3.4982,3.4983,27008.0
1759577100000,3.4977,3.5056,3.4977,3.5054,59938.5
1759577400000,3.5055,3.5084,3.5029,3.5074,43490.9
1759577700000,3.5073,3.5083,3.4996,3.4996,28793.0
1759578000000,3.4993,3.5051,3.4984,3.5046,19232.4
1759578300000,3.5048,3.5053,3.5023,3.5027,35119.9
1759578600000,3.5044,3.5089,3.5044,3.5051,20773.1
1759578900000,3.5053,3.5053,3.5003,3.5019,56332.7
1759579200000,3.5016,3.5083,3.5005,3.5083,53515.6
1759579500000,3.506,3.5073,3.5005,3.504,44057.7
1759579800000,3.504,3.5137,3.5038,3.5113,62334.8
1759580100000,3.5128,3.5149,3.5115,3.5118,68253.4
1759580400000,3.5122,3.5171,3.5109,3.5169,66816.4
1759580700000,3.5172,3.5174,3.5149,3.5149,20517.8
1759581000000,3.5148,3.5209,3.5125,3.5185,105176.3
1759581300000,3.5188,3.5209,3.5176,3.5208,43001.7
1759581600000,3.5213,3.5319,3.5208,3.5318,254464.8
1759581900000,3.5319,3.5326,3.5215,3.522,72033.7
1759582200000,3.5234,3.5307,3.5234,3.5261,90589.2
1759582500000,3.5292,3.537,3.5282,3.5341,136957.5
1759582800000,3.5332,3.5681,3.5297,3.5637,360426.4
1759583100000,3.5609,3.576,3.5568,3.5739,250886.3
1759583400000,3.5745,3.5777,3.5657,3.5657,128503.6
1759583700000,3.5635,3.5706,3.558,3.559,165967.0
1759584000000,3.5586,3.564,3.5522,3.554,100400.0
1759584300000,3.5546,3.555,3.5496,3.5513,67153.4
1759584600000,3.5506,3.5591,3.5499,3.557,68258.8
1759584900000,3.5569,3.5675,3.553,3.5675,299709.8
1759585200000,3.5674,3.5683,3.5588,3.5597,68841.9
1759585500000,3.5586,3.5625,3.5557,3.5557,70612.7
1759585800000,3.5556,3.5556,3.5484,3.5525,67830.7
1759586100000,3.5526,3.5544,3.55,3.5534,14982.8
