timestamp,open,high,low,close,volume
1759533000000,0.25918,0.25918,0.25858,0.25872,1846435.0
1759533300000,0.25853,0.25894,0.25844,0.25892,1133761.0
1759533600000,0.25885,0.25897,0.25852,0.25892,3063289.0
1759533900000,0.25892,0.25894,0.25871,0.25876,695038.0
1759534200000,0.25861,0.25861,0.25816,0.25846,1699965.0
1759534500000,0.25856,0.25929,0.25855,0.25929,1883183.0
1759534800000,0.25942,0.25943,0.25909,0.25915,1222662.0
1759535100000,0.25913,0.25921,0.25857,0.25861,1700394.0
1759535400000,0.25854,0.25859,0.25822,0.25822,1904886.0
1759535700000,0.25826,0.25868,0.25807,0.25811,2851828.0
1759536000000,0.25819,0.25881,0.25794,0.2583,6385228.0
1759536300000,0.25849,0.25923,0.25841,0.25886,2627449.0
1759536600000,0.25886,0.25927,0.25884,0.25902,1194202.0
1759536900000,0.25876,0.25929,0.25871,0.25903,2049321.0
1759537200000,0.25906,0.25958,0.25872,0.25947,2371443.0
1759537500000,0.25963,0.25964,0.25832,0.25843,4781166.0
1759537800000,0.2582,0.25848,0.25797,0.25815,13539246.0
1759538100000,0.2581,0.25816,0.25746,0.2578,5770654.0
1759538400000,0.25768,0.25778,0.25716,0.25736,5872484.0
1759538700000,0.25741,0.2579,0.25724,0.25756,3315752.0
1759539000000,0.25743,0.25767,0.25723,0.2576,2268123.0
1759539300000,0.25762,0.2577,0.25715,0.25727,2389517.0
1759539600000,0.25746,0.25767,0.25674,0.25706,3316134.0
1759539900000,0.257,0.25701,0.25656,0.25695,3672891.0
1759540200000,0.25701,0.25701,0.25631,0.25647,6214254.0
1759540500000,0.25663,0.25669,0.25593,0.25643,3766573.0
1759540800000,0.25641,0.25662,0.25593,0.25605,2295770.0
1759541100000,0.25607,0.25607,0.2554,0.25566,4604059.0
1759541400000,0.25571,0.25611,0.25537,0.25586,3922739.0
1759541700000,0.25583,0.2559,0.25524,0.25567,6822054.0
1759542000000,0.25567,0.25589,0.2555,0.25575,3112441.0
1759542300000,0.25578,0.2559,0.25519,0.25529,2813118.0
1759542600000,0.25505,0.25529,0.25478,0.255,5242555.0
1759542900000,0.25476,0.25536,0.2547,0.25524,4554676.0
1759543200000,0.25535,0.25591,0.25521,0.25583,2686141.0
1759543500000,0.25576,0.25587,0.25534,0.2554,5029470.0
1759543800000,0.2551,0.25534,0.25404,0.25412,12694245.0
1759544100000,0.25433,0.25436,0.25346,0.2541,9020052.0
1759544400000,0.25409,0.25416,0.25364,0.25389,4002281.0
1759544700000,0.25373,0.25407,0.25361,0.25393,1686079.0
1759545000000,0.25394,0.25406,0.25336,0.25348,8381682.0
1759545300000,0.25369,0.25385,0.25341,0.25363,2644805.0
1759545600000,0.25347,0.2541,0.2534,0.25389,5597953.0
1759545900000,0.25393,0.25441,0.25366,0.25414,2927230.0
1759546200000,0.25427,0.25455,0.2541,0.25443,2020978.0
1759546500000,0.25457,0.2546,0.254,0.254,1724515.0
1759546800000,0.25402,0.25422,0.2532,0.25325,8047697.0
1759547100000,0.2534,0.25345,0.25278,0.25299,7365036.0
1759547400000,0.25297,0.2531,0.25201,0.25256,7842030.0
1759547700000,0.2525,0.25255,0.25166,0.25226,11218016.0
1759548000000,0.25225,0.253,0.25206,0.25263,6807394.0
