timestamp,open,high,low,close,volume
1759533000000,3.0465,3.0467,3.0428,3.046,199539.6
1759533300000,3.0445,3.0494,3.0432,3.0493,195433.7
1759533600000,3.0496,3.0499,3.0449,3.0458,151485.3
1759533900000,3.0461,3.0462,3.044,3.0441,139208.5
1759534200000,3.0431,3.0444,3.04,3.0444,140608.8
1759534500000,3.0449,3.0476,3.044,3.0461,158869.6
1759534800000,3.0473,3.0474,3.0435,3.0437,116709.2
1759535100000,3.0436,3.0441,3.0408,3.0417,122312.5
1759535400000,3.0408,3.0417,3.0369,3.0378,158207.2
1759535700000,3.0388,3.0401,3.0368,3.0384,91466.4
1759536000000,3.0402,3.0453,3.0395,3.044,201451.6
1759536300000,3.0447,3.0477,3.0434,3.0457,137609.6
1759536600000,3.0451,3.0474,3.0445,3.0451,113535.1
1759536900000,3.0435,3.0466,3.0425,3.0442,97399.0
1759537200000,3.0442,3.0445,3.0408,3.0439,232745.1
1759537500000,3.0437,3.0437,3.0384,3.0408,143345.3
1759537800000,3.0397,3.0522,3.0397,3.0517,309103.0
1759538100000,3.0511,3.0512,3.046,3.0468,292347.1
1759538400000,3.0469,3.0519,3.0455,3.0469,210522.0
1759538700000,3.0466,3.0474,3.0411,3.0423,482106.4
1759539000000,3.0422,3.0432,3.0403,3.042,86627.7
1759539300000,3.0428,3.0445,3.0403,3.0425,215341.5
1759539600000,3.0434,3.0452,3.0382,3.0405,201360.5
1759539900000,3.0396,3.041,3.038,3.0404,74994.4
1759540200000,3.0405,3.0405,3.0342,3.0358,635382.5
1759540500000,3.0366,3.037,3.0312,3.0339,200177.7
1759540800000,3.033,3.0347,3.0311,3.032,113072.5
1759541100000,3.032,3.032,3.0294,3.0302,261033.2
1759541400000,3.03,3.0333,3.027,3.0291,303468.9
1759541700000,3.0292,3.0292,3.0248,3.0267,249598.5
1759542000000,3.027,3.0287,3.025,3.0271,106313.1
1759542300000,3.0274,3.028,3.0233,3.0247,301674.9
